,Apogee_km,Period_minutes
0,36140.9247397926,1470.6031840316841
1,5886.341921502235,155.39319738565305
2,17926.285043137355,646.8856146992463
3,6968.515950627582,170.85018148356298
4,6293.24261040869,163.88161074779586
5,33337.005681146074,1394.0437348518612
6,399.2907556549793,110.67028016392243
7,1348.9047792029926,125.04701422709304
8,167.22834774051205,91.25648102467608
9,37958.86995579678,1455.513744459467
10,183.02543747611776,107.47720198708276
11,37546.68309884253,1516.280523070152
12,35681.11515232375,1492.7426678257464
13,715.6985136804377,118.9294480615065
14,2510.831992667671,129.95258188630987
15,38317.470782643715,1479.5692604378105
16,37662.48274515666,1474.6854662970763
17,32836.98479670775,1332.572591422917
18,34007.21021058956,1442.5805599073565
19,39775.259585057596,1546.0083804439914
20,975.6957454669648,111.95572138584357
21,116751.39115902185,3386.5591276546384
22,35815.17358505429,1480.6363160364683
23,1196.8809808167423,104.02881432579824
24,171.35976046339113,105.38733288403975
25,35807.24239376148,1408.4459273544007
26,29275.816998184695,1233.2154946649239
27,38987.99769486262,1520.0213077923534
28,405.2134083589266,96.15623341120718
29,1018.0467966168636,103.57608931522901
30,36134.28837881948,1518.3950120771453
31,37646.96556532234,1420.2753895155
32,19642.974019754485,678.326770632783
33,36143.5899256915,1438.4328075853637
34,440.01044115089064,91.63360609303753
35,36975.27455729507,1512.2670874754106
36,3005.9458374178776,116.50463026648862
37,4616.442087363779,135.23032875791486
38,37618.79409831987,1483.0109212346915
39,34442.5967963931,1369.4315333106292
40,38971.35299895001,1554.4715168659432
41,36996.23855354083,1505.1956570751818
42,31614.161186227837,1328.6702363082507
43,6827.859607886321,224.25169444690042
44,40445.35330658866,1600.9125083410804
45,352.59510838863275,100.99460019841368
46,2529.1165180085463,126.5888191987161
47,38149.3097270835,1453.375872657264
48,1712.2600271005279,116.27197858810588
49,3380.2219188941494,120.8333716466279
50,36293.26292659831,1457.7971748401803
51,37187.463250037436,1473.8541027211973
52,2724.656327393632,121.21187353180613
53,3245.9005135397792,136.91228276586764
54,334.4308331234771,112.48965548284109
55,1899.5368100370456,109.62695424589938
56,689.2462000649336,104.48604254245868
57,730.4685462947104,97.4945402443807
58,2169.0099518573384,123.88165961358577
59,2650.2810016360036,119.86404166893782
60,578.0862290020702,103.26985682293703
61,13295.073229108308,580.8392469494286
62,4917.658229801734,163.43991689985774
63,35064.44092041732,1392.3978544584384
64,364.5730797249755,96.62701150412848
65,2215.6917439628064,146.705918411287
66,36933.03968390697,1430.4209541011548
67,37962.87597267894,1531.0477360368184
68,31995.578601375604,1388.4412705954915
69,2323.358801622707,116.75110125820324
70,1384.103753191925,108.56172059432615
71,2918.7011240761676,118.2161439018752
72,37648.65323719081,1404.632921829415
73,18659.36900210806,650.5181015412737
74,35026.9782034296,1393.0563491226192
75,40377.46722813783,1551.8683021729291
76,4222.420364815885,140.50584886064968
77,36351.73570924595,1481.5163492729425
78,16238.229079960285,712.5596498926488
79,37387.114348201794,1459.8649538940351
80,46216.27826319473,1023.2321771253345
81,36723.20137316701,1424.2450176028656
82,35898.31609871486,1446.925960088675
83,28161.06411795327,491.95082916181144
84,35184.611589316344,1370.3103983437607
85,1687.2631004146483,109.30374767097322
86,38275.6663863774,1529.012912654923
87,3173.7837526370786,131.36221212215136
88,34567.530162632276,1368.105701258207
89,3543.821462496443,122.06410805341373
90,35251.22032028886,1370.4805688813835
91,2286.498696557819,119.93565846309234
92,26914.963057829813,853.1128542913116
93,1653.0780178533605,113.64163884991618
94,39365.5266811442,1536.7936407924115
95,601.1641103058462,97.58701891447245
96,40283.66235569061,1577.3023314127147
97,1392.718757262125,107.30613437876148
98,4363.137605674365,137.88821985612802
99,37622.34978787476,1453.6886029825253
